Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4
1153,1.080000043,1.019000053,0.883000016,0.916000009
1154,1.080000043,1.019000053,0.887000024,0.916000009
1155,1.080000043,1.019000053,0.887000024,0.916000009
1156,1.080000043,1.019000053,0.887000024,0.916000009
1157,1.080000043,1.019000053,0.883000016,0.91900003
1158,1.080000043,1.016000032,0.887000024,0.91900003
1159,1.080000043,1.019000053,0.887000024,0.91900003
1160,1.080000043,1.019000053,0.887000024,0.91900003
1161,1.080000043,1.019000053,0.883000016,0.91900003
1162,1.080000043,1.019000053,0.887000024,0.91900003
1163,1.080000043,1.019000053,0.887000024,0.91900003
1164,1.080000043,1.019000053,0.887000024,0.91900003
1165,1.080000043,1.019000053,0.887000024,0.91900003
1166,1.080000043,1.019000053,0.887000024,0.921999991
1167,1.080000043,1.019000053,0.883000016,0.921999991
1168,1.080000043,1.019000053,0.887000024,0.921999991
1169,1.080000043,1.019000053,0.887000024,0.921999991
1170,1.080000043,1.019000053,0.887000024,0.921999991
1171,1.080000043,1.019000053,0.887000024,0.921999991
1172,1.080000043,1.019000053,0.883000016,0.921999991
1173,1.080000043,1.019000053,0.887000024,0.921999991
1174,1.080000043,1.019000053,0.887000024,0.925000012
1175,1.080000043,1.019000053,0.887000024,0.925000012
1176,1.080000043,1.019000053,0.887000024,0.925000012
1177,1.080000043,1.019000053,0.887000024,0.921999991
1178,1.080000043,1.019000053,0.887000024,0.925000012
1179,1.080000043,1.019000053,0.887000024,0.925000012
1181,1.080000043,1.016000032,0.887000024,0.925000012
1183,1.080000043,1.019000053,0.887000024,0.925000012
1184,1.082999945,1.019000053,0.887000024,0.92900002
1185,1.082999945,1.019000053,0.887000024,0.925000012
1186,1.080000043,1.019000053,0.887000024,0.925000012
1187,1.082999945,1.019000053,0.887000024,0.92900002
1188,1.082999945,1.019000053,0.887000024,0.92900002
1190,1.082999945,1.019000053,0.887000024,0.92900002
