Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
2586,0.606000006,0.441000015,0.725000024,0.967000008,0.699999988
2589,0.606000006,0.441000015,0.725000024,0.967000008,0.699999988
2592,0.606000006,0.444999993,0.725000024,0.963999987,0.699999988
2594,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2596,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2598,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2600,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2602,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2604,0.606000006,0.441000015,0.725000024,0.963999987,0.69599998
2606,0.606000006,0.441000015,0.725000024,0.961000025,0.69599998
2608,0.606000006,0.441000015,0.725000024,0.963999987,0.69599998
2612,0.606000006,0.441000015,0.725000024,0.963999987,0.699999988
2615,0.606000006,0.441000015,0.725000024,0.961000025,0.69599998
2617,0.606000006,0.441000015,0.722000003,0.961000025,0.69599998
2619,0.606000006,0.441000015,0.722000003,0.961000025,0.69599998
2622,0.606000006,0.441000015,0.722000003,0.961000025,0.69599998
2625,0.606000006,0.441000015,0.722000003,0.961000025,0.69599998
2628,0.602999985,0.437999994,0.722000003,0.963999987,0.69599998
2631,0.602999985,0.441000015,0.722000003,0.961000025,0.69599998
2634,0.602999985,0.441000015,0.722000003,0.961000025,0.69599998
2637,0.606000006,0.441000015,0.722000003,0.961000025,0.69599998
2640,0.602999985,0.441000015,0.722000003,0.961000025,0.69599998
2643,0.602999985,0.441000015,0.722000003,0.961000025,0.683000028
2646,0.602999985,0.441000015,0.722000003,0.961000025,0.69599998
2649,0.602999985,0.437999994,0.722000003,0.958000004,0.69599998
2652,0.602999985,0.441000015,0.722000003,0.961000025,0.69599998
2655,0.602999985,0.441000015,0.718999982,0.958000004,0.693000019
2658,0.602999985,0.441000015,0.718999982,0.958000004,0.69599998
2661,0.602999985,0.441000015,0.718999982,0.958000004,0.693000019
2664,0.602999985,0.441000015,0.718999982,0.958000004,0.683000028
2667,0.602999985,0.441000015,0.718999982,0.958000004,0.693000019
2670,0.600000024,0.441000015,0.718999982,0.958000004,0.683000028
2674,0.602999985,0.441000015,0.718999982,0.958000004,0.683000028
2676,0.602999985,0.437999994,0.718999982,0.958000004,0.683000028
2678,0.602999985,0.437999994,0.718999982,0.958000004,0.683000028
2681,0.602999985,0.437999994,0.718999982,0.953999996,0.693000019
2684,0.600000024,0.441000015,0.718999982,0.953999996,0.683000028
2687,0.600000024,0.437999994,0.718999982,0.953999996,0.693000019
2690,0.602999985,0.437999994,0.716000021,0.953999996,0.683000028
2693,0.602999985,0.437999994,0.716000021,0.953999996,0.680000007
2696,0.600000024,0.437999994,0.716000021,0.953999996,0.693000019
2699,0.600000024,0.437999994,0.716000021,0.953999996,0.680000007
2702,0.600000024,0.437999994,0.716000021,0.953999996,0.693000019
2705,0.600000024,0.437999994,0.716000021,0.953999996,0.693000019
2707,0.600000024,0.437999994,0.716000021,0.953999996,0.693000019
2709,0.602999985,0.437999994,0.716000021,0.953999996,0.693000019
